-1.107500218532607439e-01,7.867651039825325487e-02,7.755598129558745508e-03,-5.261749677444174100e-01,1.264123074353240839e-01,3.514654415782601793e-02,1.039330717507237203e-03,2.567856835900556977e-04,-3.423584079125547852e-01,9.395688237533607046e-01
-1.141838996711420501e-01,8.161108364526298287e-02,7.990285717953432565e-03,-5.317706763123161151e-01,1.308371159128099426e-01,3.800450490789698821e-02,1.040416268103424831e-03,2.600615577423870135e-04,-3.423758954129961229e-01,9.395624494058433251e-01
-1.176521426429655431e-01,8.460684863528011856e-02,8.240885962340497098e-03,-5.394615009145645734e-01,1.332279202067527535e-01,3.818624116275516622e-02,1.043717547311922992e-03,2.615401046541785453e-04,-3.424169932584212317e-01,9.395474682950489820e-01
-1.211623707175082387e-01,8.766654639918397551e-02,8.498289399372171635e-03,-5.508350513052749919e-01,1.342629293455328554e-01,3.717230371431100300e-02,1.063774562500135199e-03,2.653300939418253837e-04,-3.424137076409077274e-01,9.395486421797717425e-01
-1.247412733134180274e-01,9.077277549188457473e-02,8.749087336375371143e-03,-5.584261933381261533e-01,1.376871701725144448e-01,3.870332844845571912e-02,1.108750592697388274e-03,3.206822807384230993e-04,-3.424111604150506527e-01,9.395495012440777671e-01
-1.283695633267639691e-01,9.392559697777827510e-02,9.001260374507474155e-03,-5.629170087061063921e-01,1.413728928388874317e-01,4.141017302691667179e-02,1.142261357230118417e-03,3.230368879900177414e-04,-3.424213139167018860e-01,9.395457598736078886e-01
-1.320221338592709737e-01,9.714319919864107533e-02,9.273312960687934287e-03,-5.729731704402488690e-01,1.423267422571185825e-01,4.007625686573244167e-02,1.136940274575793872e-03,3.051458621150990292e-04,-3.424365697645994633e-01,9.395402121206694046e-01
-1.357318976313102998e-01,1.004177324427247553e-01,9.542792845821579037e-03,-5.839464141807484410e-01,1.443301049755120469e-01,3.980179547791520833e-02,1.134998716278104230e-03,3.397475698142134442e-04,-3.424417617678952586e-01,9.395383102448016110e-01
-1.395099776263654945e-01,1.037382221783147151e-01,9.806512635505078984e-03,-5.899885270511431301e-01,1.483750603968618798e-01,4.202745368598668346e-02,1.136241077110841007e-03,3.631683859141893612e-04,-3.424539734573853744e-01,9.395338489956164274e-01
-1.433274361331599300e-01,1.071164041575645293e-01,1.008178621127572318e-02,-5.969284275739830115e-01,1.513706996389200254e-01,4.259403225415695632e-02,1.136439045054540332e-03,3.543136333614046985e-04,-3.424668046740594329e-01,9.395291751490727483e-01
-1.471831369153868141e-01,1.105601467756523598e-01,1.036519508842786638e-02,-6.077547511562582105e-01,1.525417277177405495e-01,4.183532119993916415e-02,1.151520470824812792e-03,3.635638711896057142e-04,-3.424609650773869918e-01,9.395312818279865086e-01
-1.511038715479064154e-01,1.140537302699771299e-01,1.064409015258795631e-02,-6.161264243948249009e-01,1.556894435307161484e-01,4.301418041061620678e-02,1.197318580582482214e-03,3.739262606322453974e-04,-3.424628573902500639e-01,9.395305307679843176e-01
-1.550782345948575058e-01,1.175956350465566930e-01,1.092278755004545861e-02,-6.214631016101571648e-01,1.592421206604660577e-01,4.552981138148798346e-02,1.185289144797346383e-03,3.629198675310206664e-04,-3.424619658085134022e-01,9.395308753265380064e-01
-1.590812347212548494e-01,1.212002091212893429e-01,1.122050159274267343e-02,-6.310691707936200157e-01,1.604937329653818856e-01,4.418453516448686558e-02,1.152220896640817824e-03,3.389813900006610238e-04,-3.424923078742780347e-01,9.395198650822463859e-01
